nodeId	title	snippet
534afec7-9bde-47ae-ac52-65d23794e13a	Do I need my manager's approval to book travel?	# **Do I need my manager's approval to book travel?** No. Manager approval is not required for most business travel bookings through the [Self-Service Travel Booking Tool](https://booktravel.corp.amaz
0903b14a-a56b-48c5-a174-ca26599501be	How Do I Set Up My Travel Profile? (India)	# **How do I set up my Travel Profile?** You must create a Travel Profile in the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) before booking business travel. Your Travel Profile se
7d3c74ad-ee31-4a44-867e-21fdacca6f99	Do I Need Travel Insurance?	# **Do I need travel insurance?** Amazon provides travel insurance and assistance coverage for business travel. You do not need to purchase separate travel insurance. Refer to the section 10.4 [Travel
03a549e2-a7b3-4ca8-b065-370383d0eb3c	Where Can I Locate a Trail Code?	# **Where can I locate a Trail code?** [Trail](https://trail.amazon.dev/trips) is Amazon's system that tracks business travel for employees based in the United States. It ensures you complete necessar
ca272654-e5f7-409b-97eb-83c7c074d755	Am I Allowed to Book Personal Travel in the Self-Service Travel Booking Tool?	# **Am I allowed to book personal travel in the Self-Service Travel Booking Tool?** No. The [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/) is for business travel only. Amazon'
12b5f17e-2564-4fa5-91b6-4b6c19727141	Where do I locate Travel Counselor contact information?	# **Where do I locate Travel Counselor contact information?** Find [Travel Counselor](https://w.amazon.com/bin/view/TravelAndEvents/Support/) contact information — including phone, email, chat, and ho
d0a649a4-0375-45cc-afbb-1a62fe2e5716	How Do I Set Up My Travel Profile? (Regional)	# **How do I set up my Travel Profile?** You must create a Travel Profile in the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/) before booking business travel. Your Travel Profile se
72c9d977-6140-4f01-8d82-ba48886704d9	What Hotel Accommodations am I Allowed to Book?	# **What hotel accommodations am I allowed to book?** Book the lowest refundable standard hotel room rate on a single-occupancy basis near your work destination through the [Self-Service Travel Bookin
043a0274-aabe-4b8b-be5a-4ebc7922282b	Why can I not see the Amazon form of payment when booking my flight?	# **Why can I not see the Amazon form of payment when booking my flight?** If you cannot select the Amazon form of payment (Amazon Central Bill Solution), your booking likely includes one or more pers
97a7a52c-c38c-4296-95ad-cb8651afb1f8	Why am I receiving a new hotel confirmation I did not request?	# **Why am I receiving a new hotel confirmation I did not request?** [Amazon Travel & Events](https://w.amazon.com/bin/view/TravelAndEvents/) uses automated auditing technology that monitors your hote
6146c5df-bd75-4a26-8374-4737c4a7a8ed	What Flights Am I Allowed to Book?	# **What flights am I allowed to book?** Book the Lowest Logical Fare in Coach/Economy Class that includes a seat assignment through the [Self-Service Booking Tool](https://booktravel.corp.amazon.com/
094f3031-efc8-4d58-b35e-8b22ff9ed346	I was charged for a hotel after cancelling my booking	# **I was charged for a hotel after cancelling my booking** If you cancelled a hotel booking through the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/) and were still charged,
289ab19b-8d21-408a-8aae-8f019b2130a3	How Do I Cancel or Modify a Hotel Booking? (Regional)	# **How do I cancel or modify a hotel booking?** (Regional) Use the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/) to modify or cancel your hotel booking. Most hotel changes c
29548b53-77d9-4269-8e99-9f28ddb25979	How Do I Cancel or Modify a Hotel Booking? (Global Access)	# **How do I cancel or modify a hotel booking?** (Global Access) Use the [Self-Service Travel Booking Tool](https://booktravel.corp.amazon.com/) to modify or cancel your hotel booking. Most hotel chan
5dc3eba9-1df1-4ba1-9569-87c5f249d1b6	What Expenses Are Reimbursable? - China	# **What expenses are reimbursable?** Amazon defines business expenses as those approved and necessary to the performance of your job, reflecting good judgment and [Amazon's Leadership Principle of Fr
70dfa225-0854-47db-95e0-ded3259e1518	What Expenses Are Reimbursable? - India	# **What expenses are reimbursable?** Amazon defines business expenses as those approved and necessary to the performance of your job, reflecting good judgment and [Amazon's Leadership Principle of Fr
2f61b560-d323-4e34-8bf1-1e871017c5a8	What Expenses Are Reimbursable? - Global-ish	# **What expenses are reimbursable?** Amazon defines business expenses as those approved and necessary to the performance of your job, reflecting good judgment and [Amazon's Leadership Principle of Fr
c7987f4b-4444-4bf5-91d9-0fd54cd901d4	What Is the Deadline for Submitting Expenses? - Global	# **What is the deadline for submitting expenses?** The [Global Travel and Expense Policy](https://policy.a2z.com/docs/176324/publication) requires employees submit expense reports in the [Expense Too
7cd776d3-dc3d-4fce-b69e-b5800f8e3c07	How Do I Submit an Expense Report? - Global	An expense tool migration is currently underway from [Concur](https://expenses.corp.amazon.com/) to [Emburse](https://app.us2.chromeriver.com/login/sso/saml?idp=amazon.com). Visit the Expense Tool Mig
1da0befd-6bc7-4ce1-a1a9-7707dc3c7a5c	What Expenses Are Reimbursable? - Switzerland	# **What expenses are reimbursable?** Amazon defines business expenses as those approved and necessary to the performance of your job, reflecting good judgment and [Amazon's Leadership Principle of Fr
cbfc28e5-8785-4de9-8e9d-1ff14afc8ed7	What Expenses Are Reimbursable? - Non-Amazonians	# **What expenses are reimbursable?** Amazon defines business expenses as those approved and necessary to the performance of your job, reflecting good judgment and [Amazon's Leadership Principle of Fr
81b4a939-5ff3-432a-be7a-9cc5f492dc11	My Expense Report Was Rejected. What Do I Do Now? - Global	# My expense report was rejected. What do I do now? Most expense reports are processed and paid within 4 business days. If your submitted expense report has been pending with no movement for more than
2ce1871c-51f2-4fc1-ad25-b6b23119e190	How Do I Find the Right Expense Type? - Global	# **How do I find the right expense type?** The Expense Type Guide ([Concur](https://w.amazon.com/bin/view/Expense_Type/), [Emburse](https://atoz.amazon.work/pages/amazon-travel-events-expense/expense
3bebdb8f-248e-404f-b4db-f3eeea3564ce	What Expenses Are Reimbursable? - Germany	# **What expenses are reimbursable?** Amazon defines business expenses as those approved and necessary to the performance of your job, reflecting good judgment and [Amazon's Leadership Principle of Fr
57d2643d-ec89-4f9d-bb00-58f4abef30fe	How Long Does It Take to Get Reimbursed? - Global (Copy)	# How long does it take to get reimbursed? Most expense reports are processed and paid within 4 business days. ## Why your expense report may take longer to process: If your submitted expense report h
2e074e68-3a67-404e-b05c-98d7965f2d79	Are Meals Covered During Business Travel? - Global	# Are meals covered during business travel? Amazon has you covered for meals and snacks while you're traveling away from home for business. ## **Per diem and regional guidance** Visit the [Travel Reim
e832b61c-bda3-4e9d-adff-0902f36861ea	Are Mobile Phone Expenses Reimbursable? - Global	# Are mobile phone expenses reimbursable? **For employees L4-L8, Amazon reimburses up to $50 USD per month of your personal mobile phone base plan.** Exceptions apply for L1-3 and L10+. ## How to get 
cd2c1ca1-fbe5-4b9e-a384-9c3fd4dd3daa	How Do I Get Support for My Expense Report? - Global	# **How do I get support for my expense report?** You have a few options to help you navigate the process of submitting an expense report. **Self-service support** Visit the [Expense & Corporate Card 
1ad8360d-d279-4f6e-a17b-fc014df462f4	What Should I Do if I Lost a Receipt? - Global	# **What do I do if I lost a receipt?** If you are missing a required receipt for an expense report, you have three options: 1. **Contact the merchant to request a new receipt.** This option provides 
0765f678-af1f-47b9-adaf-c511037b9604	I Accidentally Used My Corporate Card for a Personal Expense. What Should I Do? - Global	## **Repaying Personal Expenses (Emburse)** If you accidentally used your corporate card for a personal expense, need to split an expense as partially personal, or otherwise need to repay Amazon, you 
